Site,plot,Age(years),id,longitude,Latitude,DBH,Height
1,12,4,1,39.545752,-3.773689,15.3,7.6
1,12,4,2,39.54573,-3.77373,14.7,6.6
1,12,4,3,39.545773,-3.773754,12.8,5.7
1,12,4,4,39.545806,-3.773729,11.5,5.7
1,12,4,5,39.575865,-3.81118,13,6.2
1,12,4,6,39.54583,-3.773736,11.4,5.4
1,12,4,7,39.575865,-3.81118,13.8,6.4
1,12,4,8,39.54597,-3.773702,15.7,6.8
1,12,4,9,39.54573,-3.773756,11.1,5.2
1,12,4,10,39.545811,-3.77384,8.2,6
1,12,4,11,39.54856,-3.773787,12.8,6
1,13,4,1,39. 546062,-3.773905,8.8,5.6
1,13,4,2,39.546062,-3.773905,12.8,5.9
1,13,4,3,39.538006,-3.777271,12.3,6.2
1,13,4,4,39.546045,-3.773893,8.5,4.3
1,13,4,5,39.546086,-3.773908,10.9,5.6
1,13,4,6,39.546026,-3.773994,6.8,4
1,13,4,7,39.546058,-3.773988,13.8,6.8
1,13,4,8,39.575865,-3.81118,12.6,5.4
1,13,4,9,39.546118,-3.773981,12.2,5.7
1,13,4,10,39.546118,-3.773981,8,4.8
2,14,4,1,39.547133,-3.771284,9.5,4.3
2,14,4,2,39.54705,-3.771206,8.7,5.2
2,14,4,3,39.547045,-3.771139,12,6.2
2,14,4,4,39.54513,-3.771173,10.6,5.1
2,14,4,5,39.547134,-3.771186,6.3,4.1
2,14,4,6,39.547134,-3.771186,11,6
2,14,4,7,39.547123,-3.771225,11.7,6
2,14,4,8,39.547099,-3.771174,8.8,4.1
2,14,4,9,39.54706,-3.771123,12.7,5.6
2,14,4,10,39.547185,-3.7711215,7.5,4
2,15,4,1,39.547098,-3.770962,11,4.3
2,15,4,2,39.547035,-3.771003,11,4.6
2,15,4,3,39.547069,-3.770985,10.7,4.4
2,15,4,4,39.547135,-3.770926,6.1,3.6
2,15,4,5,39.547116,-3.770916,8.5,5.4
2,15,4,6,39.547065,-3.77092,15,6.7
2,15,4,7,39.546999,-3.770916,11.4,5.6
2,15,4,8,39.546996,-3.77088,8.4,4.8
2,15,4,9,39.547038,-3.77092,8.2,5.6
2,15,4,10,39.547024,-3.770796,15,7
3,16,4,1,39.555543,-3.765479,11.6,5.9
3,16,4,2,39.555576,-3.76545,12.2,4.8
3,16,4,3,39.55564,-3.765501,7.8,5.2
3,16,4,4,39.555609,-3.765411,11,4.8
3,16,4,5,39.55557,-3.765471,13.8,6
3,16,4,6,39.555567,-3.765476,11.9,6.4
3,16,4,7,39.555564,-3.765474,14.1,5.9
3,16,4,8,39.555571,-3.765471,12.1,6
3,16,4,9,39.555544,-3.765531,14.1,6.2
3,16,4,10,39.555505,-3.765444,11,5.2
3,16,4,1,39.555367,-3.765273,16.6,7
3,17,4,2,39.555444,-3.76529,14.2,6.7
3,17,4,3,39.55547,-3.765191,15.2,6.5
3,17,4,4,39.555475,-3.76519,14.3,6.8
3,17,4,5,39.55551,-3.765224,13.4,6.7
3,17,4,6,39.555592,-3.76514,14.4,7.6
3,17,4,7,39.555753,-3.765262,15,6.4
3,17,4,8,39.555756,-3.765266,14.8,6.4
3,17,4,9,39.555709,-3.76505,15.5,7.3
3,17,4,10,39.555641,-3.765098,12.1,5.9
